Tiempo (s),Voltaje (mV)
0.000436,3922.0
0.000734,3491.0
0.00084,3393.0
0.000942,3303.0
0.001045,3221.0
0.001234,3087.0
0.001353,2999.0
0.001456,2939.0
0.001558,2871.0
0.001678,2803.0
0.001781,2747.0
0.001883,2687.0
0.001986,2638.0
0.002088,2585.0
0.00219,2527.0
0.002293,2480.0
0.002395,2429.0
0.002517,2372.0
0.002619,2326.0
0.002721,2279.0
0.002824,2236.0
0.002927,2192.0
0.003038,2149.0
0.00314,2111.0
0.003242,2066.0
0.003345,2027.0
0.003447,1984.0
0.003549,1947.0
0.003652,1916.0
0.003754,1875.0
0.003856,1840.0
0.003958,1808.0
0.004061,1775.0
0.004185,1733.0
0.004288,1697.0
0.00439,1666.0
0.004492,1637.0
0.004595,1605.0
0.004698,1579.0
0.004801,1535.0
0.004903,1514.0
0.005005,1485.0
0.005108,1456.0
0.00521,1429.0
0.005312,1401.0
0.005415,1377.0
0.005517,1354.0
0.005619,1328.0
0.005722,1302.0
0.005824,1278.0
0.005926,1262.0
0.006028,1230.0
0.006131,1205.0
0.006233,1184.0
0.006344,1163.0
0.006447,1141.0
0.006549,1120.0
0.006651,1097.0
0.006754,1078.0
0.006858,1060.0
0.00696,1038.0
0.007062,1011.0
0.007165,995.0
0.007267,976.0
0.007377,958.0
0.007507,933.0
0.007609,918.0
0.007712,901.0
0.007814,883.0
0.007916,870.0
0.008019,851.0
0.008121,837.0
0.008223,819.0
0.008326,807.0
0.008431,789.0
0.008534,775.0
0.008636,762.0
0.008738,746.0
0.008841,730.0
0.008943,720.0
0.009045,705.0
0.009147,690.0
0.00925,683.0
0.009352,668.0
0.009454,656.0
0.009556,643.0
0.009668,631.0
0.00977,623.0
0.009872,609.0
0.009974,597.0
0.010077,586.0
0.010179,576.0
0.010281,566.0
0.010384,553.0
0.010486,545.0
0.010588,537.0
0.010691,528.0
0.010793,511.0
0.010895,503.0
0.010998,492.0
0.0111,483.0
0.011202,475.0
0.011305,467.0
0.011407,458.0
0.011509,452.0
0.011611,440.0
0.011714,432.0
0.011816,423.0
0.011919,418.0
0.012021,407.0
0.012123,400.0
0.012225,394.0
0.012328,384.0
0.01243,377.0
0.012532,368.0
0.012635,365.0
0.012737,362.0
0.012839,349.0
0.01295,344.0
0.013053,336.0
0.013155,331.0
0.013257,323.0
0.013359,314.0
0.013462,307.0
0.013564,304.0
0.013666,294.0
0.013769,290.0
0.013871,286.0
0.013973,279.0
0.014115,272.0
0.014217,266.0
0.01432,259.0
0.014422,256.0
0.014524,247.0
0.014626,241.0
0.014729,240.0
0.014831,235.0
0.014933,233.0
0.015035,225.0
0.015138,223.0
0.01524,215.0
0.015342,211.0
0.015445,208.0
0.015547,205.0
0.015649,197.0
0.015751,180.0
0.01586,191.0
0.015962,188.0
0.016065,185.0
0.016167,177.0
